1	144,37
2	174,34
3	211,33
4	213,59
5	74,80
6	73,114
7	74,140
8	74,167
9	75,199
10	98,79
11	98,198
12	121,81
13	124,114
14	122,141
15	121,167
16	121,199
17	144,81
18	141,200
19	162,79
20	163,114
21	161,142
22	161,168
23	163,200
24	185,80
25	187,198
26	210,80
27	209,115
28	210,142
29	210,167
30	209,198
31	230,81
32	230,199
33	250,79
34	252,113
35	252,141
36	251,166
37	252,201
38	275,82
39	276,201
40	302,79
41	300,112
42	301,142
43	300,167
44	300,200
45	319,80
46	319,197
47	340,80
48	341,112
49	340,141
50	339,166
51	340,201
52	362,81
53	364,200
54	389,80
55	391,114
56	388,141
57	390,167
58	387,200
59	411,79
60	411,199
61	433,80
62	430,113
63	432,140
64	431,167
65	431,200
66	452,79
67	454,200
68	479,80
69	478,113
70	479,143
71	478,164
72	480,198
73	497,80
74	501,198
75	518,80
76	518,115
77	521,143
78	519,166
79	518,200
80	544,80
81	545,197
82	565,80
83	568,115
84	571,143
85	569,167
86	569,198
87	587,78
88	590,198
89	608,77
90	609,115
91	609,142
92	609,166
93	609,200
94	631,78
95	630,199
96	657,78
97	656,113
98	657,143
99	656,166
100	657,200
101	678,78
102	678,199
103	698,78
104	697,113
105	698,142
106	697,167
107	695,200
108	720,78
109	722,199
110	745,79
111	746,113
112	744,142
113	746,168
114	747,200
115	766,78
116	769,199
117	784,80
118	786,115
119	786,139
120	787,168
121	785,203
122	809,80
123	807,198
124	833,81
125	831,112
126	835,143
127	836,168
128	835,200
129	854,79
130	856,201
131	873,80
132	877,113
133	875,141
134	876,163
135	876,198
136	897,82
137	900,199
138	921,81
139	924,115
140	925,141
141	924,168
142	927,198
143	519,224
144	519,248
145	490,248
146	461,247
147	431,246
148	402,250
149	369,249
150	334,248
151	309,250
152	280,250
153	250,248
154	218,249
155	188,250
156	156,246
157	128,248
158	98,249
159	578,276
160	579,250
161	611,249
162	639,248
163	670,250
164	702,251
165	731,252
166	762,250
167	790,251
168	818,251
169	852,251
170	885,250
171	911,250
172	944,250
173	975,251
174	997,245
175	997,226
176	995,201
177	184,299
178	152,300
179	94,272
180	94,297
181	93,339
182	95,371
183	69,367
184	39,369
185	38,345
186	41,56
187	40,37
188	93,33
189	512,300
190	550,299
191	579,300
192	965,201
193	941,382
194	947,389
195	947,394
196	946,397
197	946,411
198	944,411
199	948,427
200	781,593
201	752,594
202	365,593
203	346,593
204	326,593
205	164,593
206	143,595
207	140,569
208	140,429
209	141,408
210	161,407
211	320,410
212	346,409
213	345,430
214	347,566
